0	5	0	0
0.1	5	1.31	1.31
0.2	5	2.55	2.62
0.3	5	2.95	3.02
0.4	5	3.08	3.17
0.5	5	3.1	3.19
0.6	5	3.06	3.22
0.7	5	3.13	3.24
0.8	5	3.13	3.19
0.9	5	3.08	3.22
1	5	3.13	3.24
1.1	5	3.15	3.22
1.2	5	3.1	3.19
1.3	5	3.15	3.24
1.4	5	3.17	3.24
1.5	5	3.1	3.15
1.6	5	3.15	3.26
1.7	5	3.13	3.24
1.8	5	3.13	3.19
1.9	5	3.13	3.19
2	5	3.15	3.28
2.1	5	3.13	3.19
2.2	5	3.15	3.24
2.3	5	3.13	3.22
2.4	5	3.1	3.22
2.5	5	3.15	3.19
2.6	5	3.15	3.28
2.7	5	3.1	3.19
2.8	5	3.15	3.19
2.9	5	3.17	3.22
3	5	3.13	3.19
3.1	5	3.13	3.24
3.2	5	3.13	3.17
3.3	5	3.17	3.24
3.4	5	3.15	3.26
3.5	5	3.1	3.17
3.6	5	3.17	3.22
3.7	5	3.15	3.17
3.8	5	3.13	3.24
3.9	5	3.17	3.22
4	5	3.19	3.26
4.1	5	3.1	3.22
4.2	5	3.17	3.24
4.3	5	3.17	3.22
4.4	5	3.13	3.24
4.5	5	3.15	3.19
4.6	5	3.19	3.24
4.7	5	3.17	3.24
4.8	5	3.17	3.26
4.9	5	3.15	3.24
5	5	3.19	3.26
5.1	5	3.17	3.26
5.2	5	3.15	3.22
5.3	5	3.19	3.3
5.4	5	3.15	3.26
5.5	5	3.17	3.24
5.6	5	3.19	3.3
5.7	5	3.17	3.3
5.8	5	3.13	3.22
5.9	5	3.19	3.28
6	5	3.19	3.26
6.1	5	3.13	3.24
6.2	5	3.17	3.26
6.3	5	3.17	3.26
6.4	5	3.17	3.3
6.5	5	3.17	3.26
6.6	5	3.15	3.28
6.7	0	3.19	3.3
6.8	0	2.82	3.02
6.9	0	2.17	2.44
7	0	1.55	1.95
7.1	0	1	1.44
7.2	0	0.58	0.91
7.3	0	0.24	0.44
7.4	0	0.02	0.11
7.5	0	0	0
7.6	0	0	0
7.7	0	0	0
7.8	0	0	0
7.9	0	0	0
8	0	0	0
8.1	0	0	0
8.2	0	0	0
8.3	0	0	0
8.4	0	0	0
8.5	0	0	0
8.6	0	0	0
8.7	0	0	0
8.8	0	0	0
8.9	0	0	0
9	0	0	0
9.1	0	0	0
9.2	0	0	0
9.3	0	0	0
9.4	0	0	0
9.5	0	0	0
9.6	0	0	0
9.7	0	0	0
9.8	0	0	0
9.9	0	0	0
10	0	0	0
10.1	0	0	0
10.2	0	0	0
10.3	0	0	0
10.4	0	0	0
10.5	0	0	0
10.6	0	0	0
10.7	0	0	0
10.8	0	0	0
10.9	0	0	0
11	0	0	0
11.1	0	0	0
11.2	0	0	0
11.3	0	0	0
11.4	0	0	0
11.5	0	0	0
11.6	0	0	0
11.7	0	0	0
11.8	0	0	0
11.9	0	0.33	0.29
12	0	1.62	1.57
12.1	0	1.09	1.26
12.2	0	0.53	0.8
12.3	0	0.18	0.42
12.4	0	0	0.09
12.5	0	0	0
12.6	0	0	0
12.7	0	0	0
12.8	0	0	0
12.9	0	0	0
13	0	0	0
13.1	0	0	0
13.2	0	0	0
13.3	0	0	0
13.4	0	0	0
13.5	0	0	0
13.6	0	0	0
13.7	0	0	0
13.8	0	0	0
13.9	0	0	0
14	0	0	0
14.1	0	0	0
14.2	0	0	0
14.3	0	0	0
14.4	0	0	0
14.5	0	0	0
14.6	0	0	0
14.7	0	0	0
14.8	0	0	0
14.9	0	0	0
15	0	0	0
15.1	0	0	0
15.2	0	0	0
15.3	0	0	0
15.4	0	0	0
15.5	5	0.02	0.02
15.6	5	1.62	1.49
15.7	5	2.64	2.73
15.8	5	3.06	3.22
15.9	5	3.15	3.28
16	5	3.13	3.28
16.1	5	3.19	3.35
16.2	5	3.17	3.3
16.3	5	3.13	3.26
16.4	5	3.17	3.33
16.5	5	3.19	3.3
16.6	5	3.15	3.26
16.7	5	3.17	3.33
16.8	5	3.19	3.3
16.9	5	3.15	3.24
17	5	3.17	3.26
17.1	5	3.17	3.28
17.2	5	3.08	3.17
17.3	5	3.17	3.22
17.4	5	3.17	3.26
17.5	5	3.13	3.22
17.6	5	3.19	3.26
17.7	5	3.17	3.26
17.8	5	3.13	3.26
17.9	5	3.17	3.26
18	5	3.19	3.26
18.1	5	3.13	3.24
18.2	5	3.17	3.26
18.3	5	3.17	3.19
18.4	5	3.17	3.26
18.5	5	3.15	3.28
18.6	5	3.17	3.26
18.7	5	3.15	3.24
18.8	5	3.17	3.28
18.9	5	3.13	3.26
19	5	3.17	3.22
19.1	5	3.17	3.26
19.2	5	3.1	3.26
19.3	5	3.17	3.24
19.4	5	3.19	3.24
19.5	5	3.19	3.3
19.6	5	3.17	3.24
19.7	5	3.17	3.24
19.8	5	3.17	3.28
19.9	5	3.19	3.28
20	5	3.15	3.22
20.1	5	3.19	3.33
20.2	5	3.19	3.28
20.3	5	3.17	3.24
20.4	5	3.17	3.3
20.5	5	3.19	3.28
20.6	5	3.17	3.22
20.7	5	3.19	3.28
20.8	5	3.17	3.28
20.9	5	3.15	3.24
21	5	3.17	3.28
21.1	5	3.19	3.3
21.2	5	3.13	3.22
21.3	5	3.19	3.24
21.4	5	3.17	3.33
21.5	5	3.13	3.19
21.6	5	3.17	3.28
21.7	5	3.19	3.26
21.8	5	3.13	3.22
21.9	5	3.17	3.24
22	5	3.15	3.24
22.1	5	3.17	3.28
22.2	5	3.15	3.28
22.3	5	3.13	3.24
22.4	5	3.17	3.26
22.5	5	3.17	3.28
22.6	5	3.15	3.22
22.7	5	3.17	3.28
22.8	5	3.17	3.28
22.9	5	3.13	3.24
23	5	3.17	3.28
23.1	5	3.17	3.28
23.2	5	3.13	3.28
23.3	5	3.15	3.26
23.4	5	3.17	3.28
23.5	5	3.15	3.28
23.6	5	3.13	3.26
23.7	5	3.17	3.26
23.8	5	3.13	3.26
23.9	5	3.17	3.26
24	5	3.15	3.24
24.1	5	3.15	3.26
24.2	5	3.17	3.28
24.3	0	3.13	3.26
24.4	0	2.22	2.48
24.5	0	1.53	1.82
24.6	0	0.95	1.26
24.7	0	0.51	0.73
24.8	0	0.16	0.24
24.9	0	0	0
25	0	0	0
25.1	0	0	0
25.2	0	0	0
25.3	0	0	0
25.4	0	0	0
25.5	5	0	0
25.6	5	1.53	1.37
25.7	5	2.59	2.62
25.8	5	3.08	3.17
25.9	5	3.17	3.28
26	5	3.13	3.26
26.1	5	3.15	3.3
26.2	5	3.19	3.35
26.3	5	3.13	3.24
26.4	5	3.17	3.28
26.5	5	3.17	3.28
26.6	5	3.15	3.24
26.7	5	3.15	3.26
26.8	5	3.13	3.3
26.9	5	3.13	3.24
27	5	3.15	3.28
27.1	5	3.13	3.26
27.2	5	3.13	3.28
27.3	5	3.15	3.24
27.4	5	3.15	3.26
27.5	5	3.15	3.26
27.6	5	3.17	3.26
27.7	5	3.17	3.24
27.8	5	3.1	3.26
27.9	5	3.17	3.3
28	5	3.17	3.26
28.1	5	3.13	3.22
28.2	5	3.17	3.28
28.3	5	3.15	3.24
28.4	5	3.15	3.22
28.5	5	3.17	3.26
28.6	5	3.15	3.24
28.7	5	3.19	3.28
28.8	5	3.15	3.26
28.9	5	3.1	3.24
29	5	3.19	3.24
29.1	5	3.15	3.26
29.2	5	3.13	3.24
29.3	5	3.17	3.24
29.4	5	3.15	3.22
29.5	5	3.15	3.26
29.6	5	3.17	3.22
29.7	5	3.15	3.22
29.8	5	3.17	3.26
29.9	5	3.17	3.26
30	5	3.17	3.22
30.1	5	3.17	3.24
30.2	5	3.19	3.28
30.3	5	3.15	3.19
30.4	5	3.19	3.26
30.5	5	3.17	3.26
30.6	5	3.15	3.24
30.7	5	3.17	3.24
30.8	5	3.17	3.28
30.9	5	3.13	3.22
31	5	3.19	3.24
31.1	5	3.17	3.22
31.2	5	3.15	3.26
31.3	5	3.17	3.22
31.4	5	3.17	3.22
31.5	5	3.17	3.24
31.6	5	3.19	3.28
31.7	5	3.13	3.17
31.8	5	3.19	3.28
31.9	5	3.17	3.26
32	5	3.15	3.22
32.1	5	3.17	3.24
32.2	5	3.17	3.26
32.3	5	3.13	3.24
32.4	5	3.19	3.24
32.5	5	3.17	3.28
32.6	5	3.13	3.24
32.7	5	3.17	3.24
32.8	5	3.17	3.26
32.9	0	3.15	3.28
33	0	2.99	3.1
33.1	0	2.35	2.57
33.2	0	1.69	1.97
33.3	0	1.11	1.44
33.4	0	0.62	0.86
33.5	0	0.22	0.33
33.6	0	0	0
33.7	0	0	0
33.8	5	0	0
33.9	5	1.02	0.93
34	5	2.46	2.46
34.1	5	3.17	3.26
34.2	5	3.15	3.3
34.3	5	3.15	3.26
34.4	5	3.19	3.28
34.5	5	3.17	3.28
34.6	5	3.17	3.26
34.7	5	3.19	3.28
34.8	5	3.15	3.24
34.9	5	3.17	3.26
35	5	3.19	3.28
35.1	5	3.17	3.26
35.2	5	3.19	3.28
35.3	5	3.17	3.28
35.4	5	3.17	3.24
35.5	5	3.19	3.28
35.6	5	3.19	3.3
35.7	5	3.17	3.22
35.8	5	3.19	3.24
35.9	5	3.19	3.28
36	5	3.15	3.22
36.1	5	3.19	3.28
36.2	5	3.17	3.28
36.3	5	3.13	3.24
36.4	5	3.17	3.26
36.5	5	3.15	3.33
36.6	5	3.13	3.22
36.7	5	3.13	3.24
36.8	5	3.15	3.26
36.9	5	3.15	3.22
37	5	3.13	3.22
37.1	5	3.15	3.26
37.2	5	3.13	3.22
37.3	5	3.13	3.24
37.4	5	3.13	3.24
37.5	5	3.13	3.22
37.6	5	3.15	3.26
37.7	5	3.1	3.19
37.8	5	3.15	3.24
37.9	5	3.15	3.28
38	5	3.13	3.22
38.1	5	3.15	3.24
38.2	5	3.17	3.28
38.3	5	3.13	3.24
38.4	5	3.17	3.24
38.5	5	3.17	3.28
38.6	5	3.17	3.24
